np_ave=17476
used mem size for tree=56109088
used mem size for tree(0)=0.056109088
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +0.000000e+00 +0.000000e+00 +1.372910e-02 +2.712798e-02 +3.529811e-02 +1.776512e-01 +1.712084e-03 +3.817797e-03 +2.820969e-03 +0.000000e+00 +1.301003e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.375008e-02 +2.730584e-02 +3.523111e-02 +1.779490e-01 +1.716137e-03 +3.811121e-03 +3.203869e-03 +0.000000e+00 +1.230693e-02 +0.000000e+00
 +3.969669e-04 +5.531073e-03 +1.574802e-02 +2.721429e-02 +3.533006e-02 +1.776991e-01 +1.693964e-03 +3.817797e-03 +2.810001e-03 +0.000000e+00 +1.382113e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.317787e-02 +2.676439e-02 +3.494096e-02 +1.772892e-01 +1.697063e-03 +3.845930e-03 +3.185987e-03 +0.000000e+00 +1.284909e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.305199e-02 +2.701879e-02 +3.481984e-02 +1.776121e-01 +1.695156e-03 +4.194975e-03 +2.777815e-03 +0.000000e+00 +1.304603e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.362109e-02 +2.725792e-02 +3.503275e-02 +1.776597e-01 +1.718998e-03 +3.821850e-03 +3.154039e-03 +0.000000e+00 +1.295805e-02 +0.000000e+00
 +3.449917e-04 +4.871845e-03 +1.545000e-02 +2.694821e-02 +3.525996e-02 +1.788220e-01 +1.724005e-03 +3.885031e-03 +3.140926e-03 +0.000000e+00 +1.241899e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.354098e-02 +2.723432e-02 +3.532004e-02 +1.786282e-01 +1.713991e-03 +4.271984e-03 +2.821922e-03 +0.000000e+00 +1.344013e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.385498e-02 +2.719402e-02 +3.556895e-02 +1.784358e-01 +1.712084e-03 +3.866911e-03 +2.797842e-03 +0.000000e+00 +1.311398e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.354599e-02 +2.728581e-02 +3.575826e-02 +1.784201e-01 +1.729965e-03 +3.877878e-03 +3.164053e-03 +0.000000e+00 +1.258707e-02 +0.000000e+00
 +4.332066e-04 +5.485058e-03 +1.662302e-02 +2.664614e-02 +3.490114e-02 +1.764371e-01 +2.097130e-03 +4.629135e-03 +2.779007e-03 +0.000000e+00 +1.261902e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.306510e-02 +2.696919e-02 +3.520584e-02 +1.761358e-01 +1.698971e-03 +3.782988e-03 +3.053904e-03 +0.000000e+00 +1.298499e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.363921e-02 +2.679801e-02 +3.461790e-02 +1.756961e-01 +1.672029e-03 +4.163027e-03 +2.741098e-03 +0.000000e+00 +1.253104e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.310802e-02 +2.651024e-02 +3.504395e-02 +1.758583e-01 +2.043962e-03 +3.787041e-03 +2.767086e-03 +0.000000e+00 +1.226020e-02 +0.000000e+00
